Aeroporto Anaa, Anaa, Polinésia Francesa
Vryburg, North-West, África do Sul
Aeroporto Capitan Carlos Rovirosa, Villahermosa, México
Aeroporto Viseu, Viseu, Portugal
Aeroporto Lugansk, Luhansk, Ucrânia
Aeroporto Phuoclong, Phuoclong, Vietname
Aeroporto Vasteras/Hasslo, Vasteras, Suécia
Aeroporto Vitebsk, Vitsyebsk, Bielo-Rússia
Aeroporto Wattay, Vientiane, República Popular Democrática do Laos
Aeroporto Vatulele, Vatulele, Fiji
Aeroporto Vittel, Vittel, França
Aeroporto Las Tunas, Hermanos Almejeiras, Las Tunas, Cuba
Aeroporto Vishakhapatnam, Vishakhapatnam, Índia
Aeroporto Internacional Timisoara (traian Vuia), Timisoara, Roménia
Vulcão Arenal, Costa Rica
Aeroporto Valledupar, Valledupar, Colômbia
Aeroporto Mahanoro, Mahanoro, Madagáscar
Aeroporto La Vanguardia, Villavicencio, Colômbia
Santa Cruz, Santa Cruz, Bolívia
Aeroporto Vastervik, Vastervik, Suécia
Aeroporto Vladivostok, Vladivostok, Rússia
Aeroporto Illizi, Illizi, Argélia
Aeroporto Lichinga, Lichinga, Moçambique
Aeroporto San Pedro, Sao Vicente, Cabo Verde
Aeroporto Smaland, Vaxjo, Suécia
Aeroporto Vryheid, Vryheid, África do Sul
Wee Waa, Austrália
Wabo, Papua-Nova Guiné
Wabag, Enga, Papua-Nova Guiné
Wabush, Canadá
Waca, Etiópia
Waco Kungo, Angola
Waco, Texas, Estados Unidos
Waddington, Inglaterra, Reino Unido
Wadi Ain, Iêmen
Wadi Ad Dawasir, Arábia Saudita
Aeroporto Wadi Ad Dawasir, Wadi Ad Dawasir, Arábia Saudita
Aeroporto Wana, Wana, Paquistão
Wagethe, Indonésia
Wagny, Gabão
Wageningen, Provincie Gelderland, Holanda
Wagga Wagga, Austrália
Alfredo Wagner, Santa Catarina, Brasil
Wagner, Bahia, Brasil
Wahai, Indonésia
Wahpeton, Dakota do Norte, Estados Unidos
Wairakei, Waikato, Nova Zelândia
Waimanalo, Havaí, Estados Unidos
Waitangi, Northland, Nova Zelândia
Wainwright, Alasca, Estados Unidos
Waingapu, Provinsi Nusa Tenggara Timur, Indonésia
Waikoloa, Havaí, Estados Unidos
Wairau Valley, Marlborough, Nova Zelândia
Waimea, Havaí, Estados Unidos
Wajir, North Eastern, Quênia
Wakkanai, Japão
Wakaya Island, Fiji
Wake Island, Ilhas Menores Distantes dos Estados Unidos
Wakunai, Bougainville, Papua-Nova Guiné
Kushimoto, Wakayama-ken, Japão
Wales, Alasca, Estados Unidos
Walla Walla, Washington, Estados Unidos
Walaha, Vanuatu
Orlando, Flórida, Estados Unidos
Walgett, Nova Gales do Sul, Austrália
Waltham, Massachusetts, Estados Unidos
Walcha, Nova Gales do Sul, Austrália
Wallal, Queensland, Austrália
Wamena, Provinsi Papua, Indonésia
Wana, Federally Administered Tribal Areas, Paquistão
Wanaka, Nova Zelândia
Wanuma, Papua-Nova Guiné
Wantoat, Morobe, Papua-Nova Guiné
Wangerooge, Land Niedersachsen, Alemanha
Wanganui, Manawatu-Wanganui, Nova Zelândia
Wando, Western, Papua-Nova Guiné
Wanda, Misiones, Argentina
Aeroporto Wabo, Wabo, Papua-Nova Guiné
Wapakoneta, Ohio, Estados Unidos
Wapenamanda, Enga, Papua-Nova Guiné
Hargeisa, Gobolka Woqooyi Galbeed, Somália
Varsóvia, Voivodato de Masóvia, Polónia
Ware, Massachusetts, Estados Unidos
Warren, Austrália
Warwick, Austrália
Warder, Somali Region, Etiópia
Waris, Indonésia
Warrangal, Índia
Waraghandy, Cazaquistão
Washington, Columbia, Estados Unidos
Wasua, Papua-Nova Guiné
Wasu, Morobe, Papua-Nova Guiné
Wasior, Indonésia
Washington, Córdoba, Argentina
Wasilla, Alasca, Estados Unidos
Seattle, Washington, Estados Unidos
Waspam, Region Autonoma Atlantico Norte, Nicarágua
Waterford, Irlanda
Waterfall, Alasca, Estados Unidos
Watson Lake, Canadá
Watertown, Nova Iorque, Estados Unidos
Watertown, Dakota do Sul, Estados Unidos
Watersmeet, Michigan, Estados Unidos
Waterville, Maine, Estados Unidos
Waterloo, Iowa, Estados Unidos
Wauseon, Ohio, Estados Unidos
Waukon, Iowa, Estados Unidos
Wauconda, Ilinóis, Estados Unidos
Wau, Morobe, Papua-Nova Guiné
Wauchope, Nova Gales do Sul, Austrália
Waukesha, Wisconsin, Estados Unidos
Wausau, Wisconsin, Estados Unidos
Waukegan, Ilinóis, Estados Unidos
Waverly, Ohio, Estados Unidos
Wave Hill, Northern Territory, Austrália
Waverney, Austrália
Wawa, Ontário, Canadá
Wawoi Falls, Papua-Nova Guiné
Aeroporto Zwara, Warroad-Swede Carlson Field, Líbia Árabe Jamahiriya
Waynesboro, Austrália
Waycross, Geórgia, Estados Unidos
Fort Wayne, Indiana, Estados Unidos
Waynesburg, Pensilvânia, Estados Unidos
Staunton / Waynesboro / Harrisonburg, Virginia, Estados Unidos
Aeroporto Warwick, Warwick, Austrália
Aeroporto Wahai, Wahai, Indonésia
Aeroporto Stebbins, Stebbins, Estados Unidos
Aeroporto Befandriana, Befandriana, Madagáscar
Aeroporto Bealanana, Bealanana, Madagáscar
Aeroporto Wapenamanda, Wapenamanda, Papua-Nova Guiné
Aeroporto Beroroha, Beroroha, Madagáscar
Aeroporto Beaver, Beaver, Estados Unidos
Aeroporto Wadi Ain, Wadi Ain, Iêmen
Aeroporto Internacional Hosea Kutako (J. G. Strijdom), Windhoek, Namíbia
Aeroporto Wondai, Wondai, Austrália
Weasua, Libéria
Weam, Western, Papua-Nova Guiné
Weatherford, Texas, Estados Unidos
Webequie, Canadá
Wedau, Milne Bay, Papua-Nova Guiné
Weddington, Carolina do Norte, Estados Unidos
Wedjh, Arábia Saudita
Wee Waa, Austrália
Weeping Water, Nebrasca, Estados Unidos
Weedsport, Nova Iorque, Estados Unidos
Aeroporto Weifang, Weifang, República Popular da China
Aeroporto Weihai, Weihai, República Popular da China
Weifang, Shandong Sheng, República Popular da China
Weirton, Virginia Occidental, Estados Unidos
Weipa, Austrália
Warth-Weiningen, Kanton Thurgau, Suíça
Weihai, Shandong Sheng, República Popular da China
Welkom, Free, África do Sul
Lathrop Wells, Nevada, Estados Unidos
Welshpool, Wales, Reino Unido
Spanish Wells, Harbour Island, Bahamas
Norman Wells, Canadá
Wells Branch, Texas, Estados Unidos
Wells, Nevada, Estados Unidos
Wellington, Wellington, Nova Zelândia
Wembley, Inglaterra, Reino Unido
Wemeldinge, Zelanda, Holanda
Wemindji, Canadá
Wenzhou, Zhejiang Sheng, República Popular da China
Wenatchee, Washington, Estados Unidos
Wendover, Utah, Estados Unidos
Wenceslao Escalante, Córdoba, Argentina
Wenceslau Braz, Minas Gerais, Brasil
Aeroporto Weam, Weam, Papua-Nova Guiné
Van Wert, Ohio, Estados Unidos
Wervershoof, Provincie Noord-Holland, Holanda
Key West, Flórida, Estados Unidos
Cidade do Cabo, the Western Cape, África do Sul
Negril, Westmoreland, Jamaica
Colônia, Land Nordrhein-Westfalen, Alemanha
Dusseldorf, Land Nordrhein-Westfalen, Alemanha
Sun City, North-West, África do Sul
West Palm Beach, Flórida, Estados Unidos
Willemstad, Westpunt, Curaçao
Wetzlar, Hessen, Alemanha
Orlando, Flórida, Estados Unidos
Wewak, East Sepik, Papua-Nova Guiné
Wexford, Leinster, Irlanda
South Wey, Massachusetts, Estados Unidos
Aeroporto Fianarantsoa, Fianarantsoa, Madagáscar
Aeroporto Forest Hill, Wagga Wagga, Austrália
Aeroporto Bahawalnagar, Bahawalnagar, Paquistão
Aeroporto Warangal, Warrangal, Índia
Aeroporto Walgett, Walgett, Austrália
Aeroporto Waitangi, Waitangi, Nova Zelândia
Aeroporto Waingapu, Waingapu, Indonésia
Aeroporto Wangaratta, Wangaratta, Austrália
Aeroporto Wagny, Wagny, Gabão
Whangarei, Northland, Nova Zelândia
Wharton, Texas, Estados Unidos
Whakatane, Bay of Plenty, Nova Zelândia
Whale Cove, Canadá
Whalsay, Reino Unido
Wheeling, Virginia Occidental, Estados Unidos
Wheelwright, Santa Fe, Argentina
Wheatland, Wyoming, Estados Unidos
Whistler, Colúmbia Britânica, Canadá
Whitecourt, Canadá
Whitsunday, Austrália
White Beach, Tasmania, Austrália
Whittanga, Nova Zelândia
Whiteriver, Arizona, Estados Unidos
Whitehorse, Yukon, Canadá
Whitney, Nevada, Estados Unidos
Aeroporto Whakatane, Whakatane, Nova Zelândia
Aeroporto Welshpool, Welshpool, Reino Unido
Aeroporto Franz Josef, Franz Josef, Nova Zelândia
Aeroporto Whalsay, Whalsay, Reino Unido
Aeroporto Wuhu, Wuhu, República Popular da China
Whyalla, South Australia, Austrália
Wiarton, Canadá
Wichita, Kansas, Estados Unidos
Wick, Wales, Reino Unido
Wickham, Austrália
Aeroporto Wideawake Field, Ascension Island, Santa Helena
Aeroporto Wildenrath, Wildenrath, Alemanha
Wiesbaden, Hessen, Alemanha
Aeroporto Surfdale, Surfdale, Nova Zelândia
Willemstad, Westpunt, Curaçao
Orlando, Flórida, Estados Unidos
Willmar, Minnesota, Estados Unidos
Wilde, Buenos Aires, Argentina
Wilton, Connecticut, Estados Unidos
Willow, Alasca, Estados Unidos
Willows, Califórnia, Estados Unidos
Wiluna, Austrália
Winter Park, Flórida, Estados Unidos
Winnipeg, Alberta, Canadá
Winton, Austrália
Winisk, Canadá
Windhoek, Khomas, Namíbia
Windsor, Ontário, Canadá
Winona, Minnesota, Estados Unidos
Wink, Texas, Estados Unidos
Aeroporto Wilcannia, Wilcannia, Austrália
Wipim, Papua-Nova Guiné
Milwaukee, Wisconsin, Estados Unidos
Wiseman, Alasca, Estados Unidos
Wiselka, Zachodniopomorskie, Polónia
Wismar, Land Mecklenburg-Vorpommern, Alemanha
Wise, Virginia, Estados Unidos
Madison, Wisconsin, Estados Unidos
Wissenkerke, Zelanda, Holanda
Wisques, Region Nord-Pas-de-Calais, França
Wittenberg, Land Schleswig-Holstein, Alemanha
Wittenberge, Land Brandenburg, Alemanha
Wittendom Gorge, Austrália
Witu, Papua-Nova Guiné
Witteveen, Provincie Drenthe, Holanda
Aeroporto Witu, Witu, Papua-Nova Guiné
Orlando, Flórida, Estados Unidos
Aeroporto Woja, Woja, Ilhas Marshall
Aeroporto Wajir, Wajir, Quênia
Aeroporto WonJu, Wonju Ke, República da Coréia
Aeroporto Wanaka, Wanaka, Nova Zelândia
Aeroporto Warracknabeal, Warracknabeal, Austrália
Aeroporto Hwange, Teixeira Pinto, Zimbábue
Aeroporto Hokkaido, Wakkanai, Japão
Aeroporto Aleknagik, Aleknagik, Estados Unidos
Aeroporto Wakunai, Wakunai, Papua-Nova Guiné
Aeroporto Wallal, Wallal, Austrália
Aeroporto Walcha, Walcha, Austrália
Aeroporto Internacional Wellington, Wellington, Nova Zelândia
Aeroporto Walaha, Walaha, Vanuatu
Aeroporto Selawik, Selawik, Estados Unidos
Aeroporto Wollogorang, Wollogorang, Austrália
Aeroporto Waterloo, Waterloo, Bélgica
Aeroporto Wallis Island, Wallis Island, Polinésia Francesa
Aeroporto Mandritsara, Mandritsara, Madagáscar
Aeroporto Warrnambool, Warrnambool, Austrália
Aeroporto Mandabe, Mandabe, Madagáscar
Aeroporto Mount Keith, Warramboor / Mt. Keith, Austrália
Aeroporto SPB, Myers Chuck, Estados Unidos
Aeroporto Malaimbandy, Malaimbandy, Madagáscar
Aeroporto Maroantsetra, Maroantsetra, Madagáscar
Aeroporto White Mountain, White Mountain, Estados Unidos
Aeroporto Mampikony, Mampikony, Madagáscar
Aeroporto Mananara, Mananara, Madagáscar
Aeroporto Madirovalo, Madirovalo, Madagáscar
Aeroporto Wamena, Wamena, Indonésia
Aeroporto Napakiak SPB, Napakiak, Estados Unidos
Aeroporto Windarra, Windarra, Austrália
Aeroporto Wora Na Ye, Wora Na Ye, Gabão
Aeroporto Wunnummin Lake, Wunnummin Lake, Canadá
Aeroporto Naga, Naga, Filipinas
Aeroporto Windorah, Windorah, Austrália
Aeroporto Nawabshah, Nawab Shah, Paquistão
Aeroporto Wanuma, Wanuma, Papua-Nova Guiné
Aeroporto Wenzhou, Wenzhou, República Popular da China
Aeroporto Wonenara, Wonenara, Papua-Nova Guiné
Woburn, Massachusetts, Estados Unidos
Woensdrecht, Brabante do Norte, Holanda
Klagenfurt am Woerthersee, Carintia, Áustria
Velden am Woerthersee, Carintia, Áustria
Aeroporto Woodgreen, Woodgreen, Austrália
Woitape, Papua-Nova Guiné
Woja, Ilhas Marshall
Katowice, Wojewodztwo Slaskie, Polónia
Szymany, Wojewodztwo Lodzkie, Polónia
Wologissi, Libéria
Wolf Point, Montana, Estados Unidos
Wollongong, Nova Gales do Sul, Austrália
Wollogorang, Austrália
Wollaston Lake, Canadá
Oyem, Woleu-Ntem, Gabão
Bitam, Woleu-Ntem, Gabão
Mitzic, Woleu-Ntem, Gabão
Wonan, Taiwan
Wonken, Venezuela
Wonju Ke, República da Coréia
Wondoola, Austrália
Wonenara, Eastern Highlands, Papua-Nova Guiné
Wondai, Queensland, Austrália
Su Won City, República da Coréia
Woomera, Austrália
Wood River, Alasca, Estados Unidos
Woodgreen, Austrália
Woodchopper, Alasca, Estados Unidos
Ft.Leonard Wood, Missouri, Estados Unidos
Woodward, Oclaoma, Estados Unidos
Minocqua / Woodruff, Wisconsin, Estados Unidos
Wooster, Ohio, Estados Unidos
Hargeisa, Gobolka Woqooyi Galbeed, Somália
Orlando, Flórida, Estados Unidos
Wora Na Ye, Gabão
Worcester, Massachusetts, Estados Unidos
Worland, Wyoming, Estados Unidos
Seguela, Worodougou, Costa do Marfim
Fort Worth, Texas, Estados Unidos
Wotje, Wotje Atoll, Ilhas Marshall
Wotho, Ilhas Marshall
Rio Tigre, Embera-Wounaan, Panamá
Aeroporto Port Berge, Port Berge, Madagáscar
Aeroporto Pincher Creek, Pincher Creek, Canadá
Aeroporto Wrotham Park, Wrotham, Reino Unido
Aeroporto Wipim, Wipim, Papua-Nova Guiné
Wrangell, Alasca, Estados Unidos
Aeroporto Whangarei, Whangarei, Nova Zelândia
Aeroporto Wrangell SPB, Wrangell, Estados Unidos
Wrigley, Canadá
Aeroporto Worland Municipal, Worland, Estados Unidos
Wroclaw, Baixa Silésia, Polónia
Wrotham, Inglaterra, Reino Unido
Aeroporto Warrawagine, Warranagine, Austrália
Aeroporto Westray, Westray, Reino Unido
Aeroporto Wasua, Wasua, Papua-Nova Guiné
Aeroporto South Naknek, South Naknek, Estados Unidos
Aeroporto Washabo, Washabo, Suriname
Aeroporto Wasior, Wasior, Indonésia
Aeroporto Westerly State, Westerly, Estados Unidos
Aeroporto Wasu, Wasu, Papua-Nova Guiné
Aeroporto Westsound, Westsound, Estados Unidos
Aeroporto Whitsunday Airstrip, Airlie Beach, Austrália
Aeroporto Westport, Westport, Nova Zelândia
Aeroporto Tambohorano, Tambohorano, Madagáscar
Aeroporto West End, West End, Bahamas
Aeroporto Wotje Island, Wotje, Ilhas Marshall
Aeroporto Noatak, Noatak, Estados Unidos
Aeroporto Tuntutuliak, Tuntatuliak, Estados Unidos
Aeroporto RAF Station, Waddington, Reino Unido
Aeroporto Wotho Island, Wotho, Ilhas Marshall
Aeroporto Woitape, Woitape, Papua-Nova Guiné
Aeroporto Tsiroanomandidy, Tsiroanomandidy, Madagáscar
Aeroporto Wantoat, Wantoat, Papua-Nova Guiné
Aeroporto Whitianga, Whittanga, Nova Zelândia
Wudinna, South Australia, Austrália
Aeroporto Wau, Wau, Papua-Nova Guiné
Wuhu, Anhui Sheng, República Popular da China
Wuhan, Hubei, República Popular da China
Genda Wuha, Etiópia
Aeroporto Tunggul Wulung, Cilacap, Indonésia
Aeroporto Wasum, Taguac, Papua-Nova Guiné
Wunnummin Lake, Canadá
Wuppertal, Land Nordrhein-Westfalen, Alemanha
Heidelberg, Baden-Württemberg, Alemanha
Stuttgart, Baden-Württemberg, Alemanha
Freiburg, Baden-Württemberg, Alemanha
Baden Baden, Baden-Württemberg, Alemanha
Wurzburg, Baviera, Alemanha
Buehl, Baden-Württemberg, Alemanha
Lahr, Baden-Württemberg, Alemanha
Lauda, Baden-Württemberg, Alemanha
Aeroporto Wuyishan, Wuyishan, República Popular da China
Wuvulu Island, Papua-Nova Guiné
Wuxi, Jiangsu Sheng, República Popular da China
Wuyishan, Fujian, República Popular da China
Wuzhou, Guangxi Zhuangzu Zizhiqu, República Popular da China
Aeroporto Rooikop, Walvis Bay, Namíbia
Aeroporto Manakara, Manakara, Madagáscar
Aeroporto Wilhelmshaven, Wilhelmshaven, Alemanha
Aeroporto Boram, Wewak, Papua-Nova Guiné
Aeroporto West Wyalong, West Wyalong, Austrália
Aeroporto Weathersfield Raf, Braintree, Reino Unido
Aeroporto Wanxian, Wanxian, República Popular da China
West Wyalong, Nova Gales do Sul, Austrália
High Wycombe, Inglaterra, Reino Unido
Aeroporto Yengema, Yengema, Serra Leoa
Wyk auf Foehr, Land Schleswig-Holstein, Alemanha
Wyndham, Austrália
Wynyard, Canadá
Buffalo, Wyoming, Estados Unidos
Cody, Wyoming, Estados Unidos
Worland, Wyoming, Estados Unidos
Rock Springs, Wyoming, Estados Unidos
Hanna, Wyoming, Estados Unidos
Sundance, Wyoming, Estados Unidos
Cheyenne, Wyoming, Estados Unidos
Lusk, Wyoming, Estados Unidos
Aeroporto Yellowstone, West Yellowstone, Estados Unidos
Aeroporto Paradise Island Seaplane Base, Nassau Seaplane, Bahamas
Xai-Xai, Gaza, Moçambique
Sayaboury, Xaignabouli, República Popular Democrática do Laos
Rouvres-en-Xaintois, Region Lorraine, França
Jalapa, Veracruz-Llave, México
Xangongo, Cunene, Angola
Xangai, Shanghai Shi, República Popular da China
Xanxere, Santa Catarina, Brasil
Aeroporto Chapecó, Chapecó, Brasil
São Francisco Xavier, São Paulo, Brasil
Xavier, Santiago de Cuba, Cuba
Nova Xavantina, Mato Grosso, Brasil
Xaxim, Santa Catarina, Brasil
Xayabury, República Popular Democrática do Laos
Lille-Europe Railway Station, Lille, França
Xewkija, Iz-Zebbug, Malta
Xianyang, República Popular da China
Xiangfan, Hubei, República Popular da China
Xiamen, Fujian, República Popular da China
Xi'an, Shaanxi, República Popular da China
Xicotepec de Juarez, Puebla, México
Xichang, República Popular da China
Xieng Khouang, República Popular Democrática do Laos
Xienglom, República Popular Democrática do Laos
Aeroporto Xiguan, Xianyang, República Popular da China
Xilitla, San Luis Potosí, México
Xilinhot, Inner Mongolia Autonomous Region, República Popular da China
Xingtai, Hebei Sheng, República Popular da China
Xingning, República Popular da China
São Felix de Xingu, Pará, Brasil
Xingcheng, Liaoning Sheng, República Popular da China
Hami, Xinjiang Uygur Zizhiqu, República Popular da China
Altay, Xinjiang Uygur Zizhiqu, República Popular da China
Xinguara, Pará, Brasil
Xining, Qinghai Sheng, República Popular da China
Campo Grande Rail ST, Valhadolide, Espanha
Aeroporto Xianyang, Xianyang, República Popular da China
Aeroporto Xiamen, Xiamen, República Popular da China
Aeroporto Coronel Edmundo Carvajal, Macas, Equador
Northwest Arkansas Rgn, Fayetteville, Estados Unidos
Xochimilco, México D.F., México
Xochitepec, Morelos, México
Urgench, Xorazm Viloyati, Uzbequistão
Santa Cruz Xoxocotlan, Oaxaca, México
Aeropuerto La Managua, Quepos, Costa Rica
Marsella MRS, Marselha, França
Aeropuerto de Cádiz - Jerez, Jerez de la Frontera, Espanha
Murcia del Carmen Train Station, Múrcia, Espanha
Long Xuyen, An Giang, Vietname
Xuzhou, República Popular da China
Lyon Part-Dieu Railway Station, Lyon, França
Avignon TGV Railway Station, Avinhão, França
Aeroporto Anahim Lake, Anahim Lake, Canadá
Aeroporto Arctic Bay, Arctic Bay, Canadá
Yachihuacaltepec, México, México
Yacuiba, Tarija, Bolívia
Yacanto, Córdoba, Argentina
Aeroporto Alta Lake, Alta Lake, Canadá
Yagoua, Far North Region, Camarões
Yaguajay, Sancti Spiritus, Cuba
Yaguara, Huila, Colômbia
Ein Yahav, Israel
Yahualica de Gonzalez Gallo, Jalisco, México
Yahapé, Corrientes, Argentina
Aeroporto Hat Yai, Hatyai, Tailândia
Aeroporto Lyall Harbour, Lyall Harbour, Canadá
Jakarta, Daerah Khusus Ibukota Jakarta, Indonésia
Cape Yakataga, Alasca, Estados Unidos
Yaku Shima, Japão
Yakutat, Alasca, Estados Unidos
Aldan, Respublika Sakha (Yakutiya), Rússia
Mirnyy, Respublika Sakha (Yakutiya), Rússia
Yakima, Washington, Estados Unidos
Yakutsk, Respublika Sakha (Yakutiya), Rússia
Yalgoo, Western Australia, Austrália
Yalinga, República Centro-Africana
Mulatupo, Kuna Yala, Panamá
Tupile, Kuna Yala, Panamá
Ailigandi, Kuna Yala, Panamá
Mamitupo, Kuna Yala, Panamá
Yalata Mission, Austrália
Yalumet, Papua-Nova Guiné
Yamoussoukro, Lacs, Costa do Marfim
Yam Island, Austrália
Nadym, Yamalo-Nenetskiy Avtonomnyy Okrug, Rússia
Iwakuni, Yamaguchi-ken, Japão
Yamagata, Yamagata-ken, Japão
Novyy Urengoy, Yamalo-Nenetskiy Avtonomnyy Okrug, Rússia
Salekhard, Yamalo-Nenetskiy Avtonomnyy Okrug, Rússia
Ube, Yamaguchi-ken, Japão
Yan An, República Popular da China
Yanan, Shaanxi, República Popular da China
Yanga, Veracruz-Llave, México
Yangoon, Mianmar [Birmânia]
Yandina, Ilhas Salomão
Yanji, Jilin Sheng, República Popular da China
Yantai, Shandong Sheng, República Popular da China
Yanbo, Arábia Saudita
Yaounde, Centre Region, Camarões
Yapsiei, Papua-Nova Guiné
Colonia, Yap, Estados Federados da Micronésia
Yapeyu, Corrientes, Argentina
El Yaque, Nueva Esparta, Venezuela
Yari, Nariño, Colômbia
Rahim Yar Khan, Paquistão
Yarmouth, Canadá
Aroa, Estado Yaracuy, Venezuela
Chivacoa, Estado Yaracuy, Venezuela
Yara, Granma, Cuba
San Felipe, Estado Yaracuy, Venezuela
Yasawa, Fiji
Yasuru, Morobe, Papua-Nova Guiné
Aeroporto Attawapiskat, Attawapiskat, Canadá
Yautepec, Morelos, México
Yavarate, Vaupés, Colômbia
Yaviza, Darien, Panamá
Aeroporto Angling Lake, Angling Lake, Canadá
Aeroporto St Anthony, St. Anthony, Canadá
Aeroporto Tofino, Tofino, Canadá
Aeroporto Banff, Banff, Canadá
Aeroporto Kugaaruk, Pelly Bay, Canadá
Aeroporto Baie Comeau, Baie-Comeau, Canadá
Aeroporto Uranium City, Uranium City, Canadá
Aeroporto Bagotville, Bagotville, Canadá
Aeroporto Baker Lake, Baker Lake, Canadá
Aeroporto Campbell River, Campbell River, Canadá
Aeroporto Borden, Borden, Canadá
Aeroporto Bob Quinn Lake, Bob Quinn Lake, Canadá
Aeroporto Yibin, Yibin, República Popular da China
Aeroporto Telegraph Harbour, Tadoule Lake, Canadá
Aeroporto Brandon, Brandon, Canadá
Aeroporto Brochet, Brochet, Canadá
Aeroporto Berens River, Berens River, Canadá
Aeroporto Blanc Sablon, Blanc Sablon, Canadá
Aeroporto Bonnyville, Bonnyville, Canadá
Aeroporto Cambridge Bay, Cambridge Bay, Canadá
Aeroporto Regional, Cornwall, Canadá
Aeroporto Nanaimo Arpt, Nanaimo, Canadá
Aeroporto Castlegar, Castlegar, Canadá
Aeroporto Miramichi, Miramichi, Canadá
Aeroporto Caribou Island, Caribou Island, Canadá
Aeroporto Cape St James, Cape St. James, Canadá
Aeroporto Charlo, Charlo, Canadá
Aeroporto St Catharines, St. Catharines, Canadá
Aeroporto Cochrane, Cochrane, Canadá
Aeroporto Kugluktuk, Coppermine, Canadá
Aeroporto Co-op Point, Coop Point, Canadá
